hierarchy,architecture,fold_desc,h_desc,t_desc,f_desc
101.1.4.3,alpha arrays,HTH,HTH,"tetra-helical, lambda repressor-like",HTH_3
165.1.1.1,alpha duplicates or obligate multimers,Dimerisation interlock,SinR repressor dimerisation domain-like,SinR repressor dimerisation domain-like,SinI
2004.1.1.5,a/b three-layered sandwiches,P-loop domains-like,P-loop domains-related,P-loop containing nucleoside triphosphate hydrolases,ABC_tran
102.1.1.16,alpha arrays,HhH/H2TH,SAM/DNA-glycosylase,SAM domain-like,SAM_2
4.11.1.2,beta barrels,SH3,LexA/Signal peptidase,LexA/Signal peptidase,Peptidase_S26
242.1.1.7,a+b two layers,Homing endonucleases-like,Homing endonucleases,Homing endonucleases,LAGLIDADG_3
806.1.1.1,a+b four layers,"Aldehyde ferredoxin oxidoreductase, N-terminal domain","Aldehyde ferredoxin oxidoreductase, N-terminal domain","Aldehyde ferredoxin oxidoreductase, N-terminal domain",AFOR_N
5.3.1.0,beta duplicates or obligate multimers,beta-propeller-like,beta-Prism II,beta-Prism II,NO_F_NAME
807.1.1.1,a+b two layers,Allophycocyanin linker chain (domain),Allophycocyanin linker chain (domain),Allophycocyanin linker chain (domain),CpcD
4.1.1.19,beta barrels,SH3,SH3,SH3,LSM
10.2.1.44,beta sandwiches,jelly-roll,Nucleoplasmin-like/VP (viral coat and capsid proteins),Nucleoplasmin-like/VP (viral coat and capsid proteins),CRPV_capsid
1170.1.1.1,beta barrels,IL8-related,IL8-related,IL8,IL8
282.1.1.1,a+b duplicates or obligate multimers,CBS-domain,CBS-domain,CBS-domain,CBS
2002.1.1.23,a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,IMPDH
605.1.1.2,alpha duplicates or obligate multimers,ROP-like,Homodimeric domain of signal transducing histidine kinase,Homodimeric domain of signal transducing histidine kinase,H-kinase_dim
2.10.1.1,beta barrels,OB-fold,CheW,CheW,CheW
304.15.1.2,a+b two layers,Alpha-beta plaits,Viral DNA-binding domain,Viral DNA-binding domain,EBV-NA1
109.4.1.35,alpha superhelices,Repetitive alpha hairpins,ARM repeat,ARM repeat,"HEAT,HEAT_2"
11.1.1.15,beta sandwiches,Immunoglobulin-like beta-sandwich,Immunoglobulin-related,Immunoglobulin/Fibronectin type III/E set domains/PapD-like,PKD
557.1.1.1,alpha arrays,LigA-like domain,LigA-like domain,LigA-like domain,LigA
2012.1.1.2,a/b three-layered sandwiches,LigB-like,LigB-like,LigB-like,LigB
266.1.1.1,a+b two layers,Thymidylate synthase/dCMP hydroxymethylase,Thymidylate synthase/dCMP hydroxymethylase,Thymidylate synthase/dCMP hydroxymethylase,Thymidylat_synt
244.1.1.6,a+b two layers,"FAD-linked reductases, C-terminal domain-like",FAD-linked reductases-C,FAD-linked reductases-C,Amino_oxidase
2003.1.2.17,a/b three-layered sandwiches,Rossmann-like,Rossmann-related,FAD/NAD(P)-binding domain,Amino_oxidase
2002.1.1.90,a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,MTHFR
212.1.1.9,a+b two layers,Ribosomal protein S5 domain 2-like,Ribosomal protein S5 domain 2-like,Ribosomal protein S5 domain 2-like,DNA_mis_repair
225.1.1.7,a+b two layers,ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase-like,ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase,ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase,HATPase_c_3
231.1.2.2,a+b two layers,MocoBD/DmpA-related,MocoBD/DmpA-related,DmpA/ArgJ,Peptidase_S58
101.1.2.0,alpha arrays,HTH,HTH,winged,NO_F_NAME
283.1.1.1,a+b duplicates or obligate multimers,Creatinase/aminopeptidase-like,Creatinase/aminopeptidase,Creatinase/aminopeptidase,Peptidase_M24
2007.1.5.1,a/b three-layered sandwiches,Flavodoxin-like,Class I glutamine amidotransferase-like,ATC-like,Asp_Glu_race
227.1.1.9,a+b two layers,DNA clamp,DNA clamp,DNA clamp,DNA_PPF
227.1.1.14,a+b two layers,DNA clamp,DNA clamp,DNA clamp,gp45-slide_C
507.1.1.1,alpha arrays,DnaB helicase N-terminal domain-related,DnaB helicase N-terminal domain-related,DnaB helicase N-terminal domain-related,DnaB
2484.1.1.18,mixed a+b and a/b,Ribonuclease H-like,Ribonuclease H-like,Ribonuclease H-like,DDE_Tnp_1
109.4.1.12,alpha superhelices,Repetitive alpha hairpins,ARM repeat,ARM repeat,Clathrin
2.1.1.15,beta barrels,OB-fold,Nucleic acid-binding proteins,Nucleic acid-binding proteins,tRNA_anti-codon
314.1.1.1,a+b three layers,Class II aaRS and biotin synthetases,Class II aaRS and biotin synthetases,Class II aaRS and biotin synthetases,tRNA-synt_2
377.1.1.0,few secondary structure elements,Glucocorticoid receptor-like,LIM domain-like,LIM domain-like,NO_F_NAME
377.1.1.5,few secondary structure elements,Glucocorticoid receptor-like,LIM domain-like,LIM domain-like,LIM
383.1.1.6,few secondary structure elements,Defensin-like,Defensin-related,Defensin-related,Defensin_3
101.17.1.1,alpha arrays,HTH,IHF-like DNA-binding proteins,IHF-like DNA-binding proteins,Bac_DNA_binding
3016.1.1.6,a+b two layers,C-terminal domain in some PLP-dependent transferases,C-terminal domain in some PLP-dependent transferases,C-terminal domain in some PLP-dependent transferases,DegT_DnrJ_EryC1
7577.1.1.6,a/b three-layered sandwiches,PLP-dependent transferases,PLP-dependent transferases,PLP-dependent transferases,DegT_DnrJ_EryC1
230.1.1.4,a+b two layers,T-fold,Tetrahydrobiopterin biosynthesis enzymes-like,Tetrahydrobiopterin biosynthesis enzymes-like,FolB
101.1.2.1,alpha arrays,HTH,HTH,winged,HTH_1
235.1.1.1,a+b complex topology,Lysozyme-like,Lysozyme-like,Lysozyme-like,Lys
221.1.1.1,a+b two layers,beta-Grasp,Ubiquitin-related,Ubiquitin-like,Fer2
389.1.1.15,few secondary structure elements,EGF-like,EGF-related,EGF/Laminin,EGF_MSP1_1
389.1.1.16,few secondary structure elements,EGF-like,EGF-related,EGF/Laminin,EGF_3
2008.1.1.8,a/b three-layered sandwiches,Restriction endonuclease-like,Restriction endonuclease-like,Restriction endonuclease-like,BamHI
252.2.1.2,a+b two layers,DNA-binding domain,GCC-box binding domain-like,GCC-box binding domain-like,Integrase_DNA
601.2.1.4,alpha bundles,Four-helical up-and-down bundle,Cytochromes,Cytochromes,Cytochrom_C_2
2.8.1.1,beta barrels,OB-fold,mu transposases-C,mu transposases-C,Mu-transpos_C
2484.1.1.33,mixed a+b and a/b,Ribonuclease H-like,Ribonuclease H-like,Ribonuclease H-like,DDE_2
1.1.7.6,beta barrels,cradle loop barrel,RIFT-related,Alanine racemase-C,Ala_racemase_C
2002.1.1.53,a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,Ala_racemase_N
7573.1.1.4,a/b three-layered sandwiches,PRTase-like,PRTase-like,PRTase-like,UPRTase
72.1.1.1,beta sandwiches,gamma-Crystallin-like,gamma-Crystallin-like,gamma-Crystallin-like,Crystall
109.3.1.8,alpha superhelices,Repetitive alpha hairpins,Ankyrin repeat,Ankyrin repeat,Ank_2
2003.1.1.3,a/b three-layered sandwiches,Rossmann-like,Rossmann-related,NAD(P)-binding Rossmann-fold domains,adh_short
305.1.1.1,a+b two layers,DCoH-like,RBP11-like subunits of RNA polymerase,RBP11-like subunits of RNA polymerase,RNA_pol_L
240.2.1.1,a+b complex topology,Ribosomal protein TL5/L25 C-terminal domain-like,Insert subdomain of RNA polymerase alpha subunit,Insert subdomain of RNA polymerase alpha subunit,RNA_pol_A_bac
325.1.7.1,a+b complex topology,alpha/beta-Hammerhead/Barrel-sandwich hybrid,alpha/beta-Hammerhead/Barrel-sandwich hybrid,Single hybrid motif,Biotin_lipoyl
383.1.1.5,few secondary structure elements,Defensin-like,Defensin-related,Defensin-related,Defensin_4
11.2.1.16,beta sandwiches,Immunoglobulin-like beta-sandwich,C2 domain,C2 domain,PKC_C2
185.1.1.1,alpha superhelices,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin-like,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin/Protein HNS-dependent expression A HdeA,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin,Tryp_alpha_amyl
9.1.1.1,beta barrels,Lipocalins/Streptavidin,Lipocalins,Lipocalins,Lipocalin
3009.1.1.1,alpha arrays,Insertion subdomain in DsbA-like,Insertion subdomain in DsbA-like,Insertion subdomain in DsbA-like,DSBA
2485.1.1.10,a+b three layers,Thioredoxin-like,Thioredoxin-like,Thioredoxin-like,DSBA
10.2.1.69,beta sandwiches,jelly-roll,Nucleoplasmin-like/VP (viral coat and capsid proteins),Nucleoplasmin-like/VP (viral coat and capsid proteins),Rhv_5
11.1.1.47,beta sandwiches,Immunoglobulin-like beta-sandwich,Immunoglobulin-related,Immunoglobulin/Fibronectin type III/E set domains/PapD-like,CBM_48
12.1.1.49,beta sandwiches,Glycosyl hydrolase domain-like,Glycosyl hydrolase domain,Glycosyl hydrolase domain,Isoamylase_C
2002.1.1.4,a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,Alpha-amylase
4.8.1.3,beta barrels,SH3,Chromo domain-like,Chromo domain-like,7kD_DNA_binding
2002.1.1.88,a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,PTE
11.1.5.12,beta sandwiches,Immunoglobulin-like beta-sandwich,Immunoglobulin-related,Common fold of diphtheria toxin/transcription factors/cytochrome f,STAT_bind
108.1.1.40,alpha arrays,EF-hand,EF-hand-related,EF-hand,STAT_linker
603.2.1.1,alpha bundles,STAT-like,STAT,STAT,STAT_alpha
214.1.1.1,a+b two layers,SH2,SH2,SH2,SH2
5073.1.1.0,alpha bundles,Calcium ATPase transmembrane domain-related,Calcium ATPase transmembrane domain-related,Calcium ATPase transmembrane domain M,NO_F_NAME
129.1.1.6,alpha arrays,6-phosphogluconate dehydrogenase C-terminal domain-like,6-phosphogluconate dehydrogenase C-terminal domain-like,6-phosphogluconate dehydrogenase C-terminal domain-like,Octopine_DH
2003.1.1.30,a/b three-layered sandwiches,Rossmann-like,Rossmann-related,NAD(P)-binding Rossmann-fold domains,ApbA
150.3.1.28,alpha bundles,Ferritin/Heme oxygenase/4-helical cytokines,4-helical cytokines,4-helical cytokines,GCSF
515.1.1.1,alpha arrays,Transcription factor STAT-4 N-domain,Transcription factor STAT-4 N-domain,Transcription factor STAT-4 N-domain,STAT_int
354.1.1.1,few secondary structure elements,Sea anemone toxin k-like,Sea anemone toxin k-related,Sea anemone toxin k-related,ShK
2003.1.1.7,a/b three-layered sandwiches,Rossmann-like,Rossmann-related,NAD(P)-binding Rossmann-fold domains,ELFV_dehydrog
2007.1.6.3,a/b three-layered sandwiches,Flavodoxin-like,Class I glutamine amidotransferase-like,"Aminoacid dehydrogenase-like, N-terminal domain",ELFV_dehydrog_N
102.1.1.4,alpha arrays,HhH/H2TH,SAM/DNA-glycosylase,SAM domain-like,5_3_exonuc
2006.1.4.4,a/b three-layered sandwiches,HAD domain-like,HAD domain-related,PIN domain-like,5_3_exonuc_N
148.1.1.5,alpha arrays,Histone-like,Histone-related,Histone,TFIID-18kDa
148.1.1.10,alpha arrays,Histone-like,Histone-related,Histone,TAFII28
207.2.1.1,beta duplicates or obligate multimers,Single-stranded right-handed beta-helix,Pectin lyase-like,Pectin lyase-like,Glyco_hydro_28
10.32.1.9,beta sandwiches,jelly-roll,Galactose-binding domain-like,Galactose-binding domain-like,Glyco_hydro_2_N
11.1.1.14,beta sandwiches,Immunoglobulin-like beta-sandwich,Immunoglobulin-related,Immunoglobulin/Fibronectin type III/E set domains/PapD-like,Glyco_hydro_2
2002.1.1.104,a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,Glyco_hydro_2_C
386.1.1.0,few secondary structure elements,beta-beta-alpha zinc fingers,beta-beta-alpha zinc fingers,beta-beta-alpha zinc fingers,NO_F_NAME
72.1.1.2,beta sandwiches,gamma-Crystallin-like,gamma-Crystallin-like,gamma-Crystallin-like,Inhibitor_I36
7581.1.1.4,a/b three-layered sandwiches,Thiolase-like,Thiolase-like,Thiolase-like,Chal_sti_synt_N
7581.1.1.6,a/b three-layered sandwiches,Thiolase-like,Thiolase-like,Thiolase-like,Chal_sti_synt_C
4.1.1.28,beta barrels,SH3,SH3,SH3,BPL_C
101.1.2.92,alpha arrays,HTH,HTH,winged,HTH_11
314.1.1.6,a+b three layers,Class II aaRS and biotin synthetases,Class II aaRS and biotin synthetases,Class II aaRS and biotin synthetases,BPL_LplA_LipB
2004.1.1.65,a/b three-layered sandwiches,P-loop domains-like,P-loop domains-related,P-loop containing nucleoside triphosphate hydrolases,6PF2K
7525.1.1.1,a/b three-layered sandwiches,Phosphoglycerate mutase-like,Phosphoglycerate mutase-like,Phosphoglycerate mutase-like,His_Phos_1
11.1.1.179,beta sandwiches,Immunoglobulin-like beta-sandwich,Immunoglobulin-related,Immunoglobulin/Fibronectin type III/E set domains/PapD-like,Ig_3
11.1.1.0,beta sandwiches,Immunoglobulin-like beta-sandwich,Immunoglobulin-related,Immunoglobulin/Fibronectin type III/E set domains/PapD-like,NO_F_NAME
11.1.1.97,beta sandwiches,Immunoglobulin-like beta-sandwich,Immunoglobulin-related,Immunoglobulin/Fibronectin type III/E set domains/PapD-like,I-set
384.1.1.1,few secondary structure elements,BPTI-like,BPTI-like,BPTI-like,Kunitz_BPTI
101.1.2.105,alpha arrays,HTH,HTH,winged,MotA_activ
101.1.2.9,alpha arrays,HTH,HTH,winged,DNA_topoisoIV
2006.1.3.3,a/b three-layered sandwiches,HAD domain-like,HAD domain-related,Toprim domain,"Toprim,TOPRIM_C"
4012.1.1.1,a+b two layers,SSHS domain,SSHS domain in type II DNA topoisomerase,SSHS domain in type II DNA topoisomerase,TOPRIM_C
4014.1.1.1,a+b two layers,a+b domain in type II DNA topoisomerase,a+b domain in type II DNA topoisomerase,a+b domain in type II DNA topoisomerase,DNA_topoisoIV
4016.1.1.1,alpha bundles,alpha-helical domain in type II DNA topoisomerase,alpha-helical domain in type II DNA topoisomerase,alpha-helical domain in type II DNA topoisomerase,DNA_topoisoIV
2485.1.1.43,a+b three layers,Thioredoxin-like,Thioredoxin-like,Thioredoxin-like,Thioredoxin_6
387.1.5.1,few secondary structure elements,omega toxin-like,omega toxin-related,Scorpion toxin-like,Gamma-thionin
2.1.1.13,beta barrels,OB-fold,Nucleic acid-binding proteins,Nucleic acid-binding proteins,eIF-5a
304.103.1.1,a+b two layers,Alpha-beta plaits,FMN-dependent nitroreductase-like,FMN-dependent nitroreductase-like,Nitroreductase
101.1.1.2,alpha arrays,HTH,HTH,tri-helical,HTH_AraC
101.1.1.58,alpha arrays,HTH,HTH,tri-helical,HTH_18
101.1.9.6,alpha arrays,HTH,HTH,Putative DNA-binding domain,KilA-N
101.1.2.38,alpha arrays,HTH,HTH,winged,RTP
221.1.1.0,a+b two layers,beta-Grasp,Ubiquitin-related,Ubiquitin-like,NO_F_NAME
207.2.1.3,beta duplicates or obligate multimers,Single-stranded right-handed beta-helix,Pectin lyase-like,Pectin lyase-like,Pectate_lyase_4
383.1.1.3,few secondary structure elements,Defensin-like,Defensin-related,Defensin-related,Defensin_beta
385.1.1.4,few secondary structure elements,Cystine-knot cytokines,Cystine-knot cytokines,Cystine-knot cytokines,NGF
206.1.2.2,a+b complex topology,Protein kinase/SAICAR synthase/ATP-grasp,Protein kinase/SAICAR synthase/ATP-grasp,SAICAR synthase,PIP5K
213.1.1.1,a+b three layers,Nat/Ivy,Acyl-CoA N-acyltransferases (Nat),Acyl-CoA N-acyltransferases (Nat),Acetyltransf_1
176.1.1.1,alpha arrays,Annexin,Annexin,Annexin,Annexin
101.1.15.3,alpha arrays,HTH,HTH,"HAT1, C-terminal domain",HAT1_C_fung
386.1.1.16,few secondary structure elements,beta-beta-alpha zinc fingers,beta-beta-alpha zinc fingers,beta-beta-alpha zinc fingers,Hat1_N
213.1.1.2,a+b three layers,Nat/Ivy,Acyl-CoA N-acyltransferases (Nat),Acyl-CoA N-acyltransferases (Nat),"Acetyltransf_1,Hat1_N"
108.1.1.9,alpha arrays,EF-hand,EF-hand-related,EF-hand,NO_F_NAME
280.1.1.1,a+b two layers,Ribonuclease Rh-like,Ribonuclease Rh-like,Ribonuclease Rh-like,Ribonuclease_T2
367.1.1.1,few secondary structure elements,Insulin-like,Insulin-like,Insulin-like,Insulin
2003.1.5.12,a/b three-layered sandwiches,Rossmann-like,Rossmann-related,S-adenosyl-L-methionine-dependent methyltransferases,N6_N4_Mtase
376.1.1.22,few secondary structure elements,RING/U-box-like,RING/U-box-like,RING/U-box,zf-C3HC4_3
109.4.1.132,alpha superhelices,Repetitive alpha hairpins,ARM repeat,ARM repeat,NO_F_NAME
2002.1.1.8,a/b barrels,TIM beta/alpha-barrel,TIM barrels,TIM barrels,Cellulase
3156.1.1.3,beta sandwiches,Cupredoxin-like,Cupredoxin-related,Cupredoxin-related,Copper-bind
11.1.1.127,beta sandwiches,Immunoglobulin-like beta-sandwich,Immunoglobulin-related,Immunoglobulin/Fibronectin type III/E set domains/PapD-like,IL6Ra-bind
184.1.1.1,alpha arrays,Nucleoside phosphorylase/phosphoribosyltransferase-N,Nucleoside phosphorylase/phosphoribosyltransferase-N,Nucleoside phosphorylase/phosphoribosyltransferase-N,Glycos_trans_3N
325.1.3.1,a+b complex topology,alpha/beta-Hammerhead/Barrel-sandwich hybrid,alpha/beta-Hammerhead/Barrel-sandwich hybrid,Pyrimidine nucleoside phosphorylase C-terminal domain,PYNP_C
7544.1.1.1,a/b three-layered sandwiches,Nucleoside phosphorylase/phosphoribosyltransferase catalytic domain,Nucleoside phosphorylase/phosphoribosyltransferase catalytic domain,Nucleoside phosphorylase/phosphoribosyltransferase catalytic domain,Glycos_transf_3
387.1.5.0,few secondary structure elements,omega toxin-like,omega toxin-related,Scorpion toxin-like,NO_F_NAME
146.1.1.2,alpha arrays,Di-copper centre-containing domain,Di-copper centre-containing domain,Di-copper centre-containing domain,"Tyrosinase,PPO1_DWL"
382.1.1.3,few secondary structure elements,Snake toxin-like,Snake toxin-like,Snake toxin-like,Activin_recp
220.1.1.1,beta barrels,PH domain-like,PH domain-like,PH domain-like,PH
398.1.1.1,few secondary structure elements,Btk/CHORD zinc fingers,Btk/CHORD zinc fingers,Btk/CHORD zinc fingers,BTK
220.1.1.34,beta barrels,PH domain-like,PH domain-like,PH domain-like,PH_9
101.1.10.1,alpha arrays,HTH,HTH,Cyclin-like,Cyclin_N
101.1.10.11,alpha arrays,HTH,HTH,Cyclin-like,Herp-Cyclin
10.10.1.1,beta sandwiches,jelly-roll,Lipase/lipooxygenase domain (PLAT/LH2 domain),Lipase/lipooxygenase domain (PLAT/LH2 domain),PLAT
7579.1.1.2,a/b three-layered sandwiches,alpha/beta-Hydrolases,alpha/beta-Hydrolases,alpha/beta-Hydrolases,Lipase
223.3.1.8,a+b three layers,Profilin-like,a+b domain in beta-lactamase/transpeptidase-like proteins,a+b domain in beta-lactamase/transpeptidase-like proteins,Beta-lactamase2
226.1.1.1,a+b two layers,POZ domain,POZ domain,POZ domain,BTB
2484.1.1.1,mixed a+b and a/b,Ribonuclease H-like,Ribonuclease H-like,Ribonuclease H-like,HSP70
617.1.1.1,alpha bundles,A virus capsid protein alpha-helical domain,A virus capsid protein alpha-helical domain,A virus capsid protein alpha-helical domain,Orbi_VP7
2.1.1.14,beta barrels,OB-fold,Nucleic acid-binding proteins,Nucleic acid-binding proteins,RuvA_N
103.1.1.6,alpha arrays,RuvA-C,"RuvA-C, UBA, CRAL/TRIO-N, HBS1","RuvA-C, UBA, CRAL/TRIO-N, HBS1",RuvA_C
2007.2.1.1,a/b three-layered sandwiches,Flavodoxin-like,Flavoproteins/Phosphotyrosine protein phosphatases-like,Flavoproteins,Flavodoxin_1
1.1.2.3,beta barrels,cradle loop barrel,RIFT-related,double psi,Barwin
101.1.1.1,alpha arrays,HTH,HTH,tri-helical,Homeodomain
232.1.1.0,a+b duplicates or obligate multimers,Pentein,Pentein,Pentein,NO_F_NAME
302.2.1.1,a+b two layers,Reverse ferredoxin,"RuBisCO, small subunit","RuBisCO, small subunit",RuBisCO_small
2003.6.1.1,a/b three-layered sandwiches,Rossmann-like,Ribokinase-like,Ribokinase-like,PfkB
388.1.1.1,few secondary structure elements,Huristasin-like,Huristasin-like,Huristasin-like,Antistasin
225.1.1.3,a+b two layers,ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase-like,ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase,ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase,HATPase_c
